Artista,Titolo,Anno,data_info,Stato
RENÉ MAGRITTE,L’impero della luce,1954,CIRCA,OPERA ESPOSTA
SALVADOR DALÍ,La nascita dei desideri liquidi,1932,CIRCA,OPERA ESPOSTA
VASILY KANDINSKY,Verso l'alto,1929,TRUE,OPERA ESPOSTA
PAUL KLEE,Ritratto di Frau P. nel Sud,1924,TRUE,OPERA ESPOSTA
PABLO PICASSO,Sulla spiaggia,1937,TRUE,OPERA NON ESPOSTA
PABLO PICASSO,Lo studio,1928,TRUE,OPERA ESPOSTA
JACKSON POLLOCK,La donna luna,1942,TRUE,OPERA ESPOSTA
JACKSON POLLOCK,Foresta incantata,1947,TRUE,OPERA ESPOSTA
GIORGIO DE CHIRICO,La torre rossa,1913,TRUE,OPERA NON ESPOSTA
MAX ERNST,La vestizione della sposa,1940,TRUE,OPERA ESPOSTA
CONSTANTIN BRANCUSI,Maiastra,1912,CIRCA,OPERA ESPOSTA
KAZIMIR MALEVICH,Senza titolo,1916,CIRCA,OPERA ESPOSTA
GINO SEVERINI,Mare=Ballerina,1914,TRUE,OPERA ESPOSTA
JEAN (HANS) ARP,Scarpa azzurra rovesciata con due tacchi sotto una volta nera,1925,CIRCA,OPERA NON ESPOSTA
ALBERTO GIACOMETTI,Donna sgozzata,1932,TRUE,OPERA NON ESPOSTA
ARTISTA NON RICONOSCIUTO,"Maschera (""mukinka"")",1950,CIRCA,OPERA NON ESPOSTA
BERENICE ABBOTT,Peggy Guggenheim,1926,CIRCA,OPERA NON ESPOSTA
BERENICE ABBOTT,"Galleria surrealista, Art of This Century",1942,TRUE,OPERA ESPOSTA
BERENICE ABBOTT,"Galleria astratta, Art of This Century",1942,TRUE,OPERA ESPOSTA
BERENICE ABBOTT,"Galleria astratta, Art of This Century",1942,TRUE,OPERA ESPOSTA
BERENICE ABBOTT,"Galleria astratta, Art of This Century",1942,TRUE,OPERA ESPOSTA
BERENICE ABBOTT,"Galleria a luce naturale, Art of This Century",1942,TRUE,OPERA NON ESPOSTA
BERENICE ABBOTT,"Galleria a luce naturale, Art of This Century",1942,TRUE,OPERA NON ESPOSTA
ARTISTA NON RICONOSCIUTO,Elemento di una casa cerimoniale,1950,CIRCA,OPERA NON ESPOSTA
CARLA ACCARDI,Blu concentrico,1960,TRUE,OPERA NON ESPOSTA
CARLA ACCARDI,Senza titolo,1968,TRUE,OPERA NON ESPOSTA
ARTISTA NON RICONOSCIUTO,"Copricapo (""Ago Egungun"")",1950,CIRCA,OPERA NON ESPOSTA
ANNI ALBERS,Da oriente,1963,TRUE,OPERA NON ESPOSTA
JOSEF ALBERS,"Variante/Adobe, Fronte Arancione",1958,CIRCA,OPERA NON ESPOSTA
JOSEF ALBERS,Omaggio al quadrato RIII a-ı,1970,TRUE,OPERA NON ESPOSTA
PIERRE ALECHINSKY,Vulcano azteco,1971,TRUE,OPERA NON ESPOSTA
PIERRE ALECHINSKY,Vestaglia,1972,TRUE,OPERA NON ESPOSTA
CARL ANDRE,Verso Ovest (Blocchi non scolpiti),1975,TRUE,OPERA NON ESPOSTA
MARINA APOLLONIO,Rilievo n. 505,1968,CIRCA,OPERA NON ESPOSTA
KAREL APPEL,Il coccodrillo piangente cerca di afferrare il sole,1956,TRUE,OPERA ESPOSTA
ALEXANDER ARCHIPENKO,La Boxe,1935,TRUE,OPERA NON ESPOSTA
RODOLFO ARICÒ,Assonometria rossa,1967,TRUE,OPERA NON ESPOSTA
ARMAN,Variabile e invariabile,1963,TRUE,OPERA NON ESPOSTA
KENNETH ARMITAGE,Persone nel vento,1951,TRUE,OPERA ESPOSTA
KENNETH ARMITAGE,Diarchia,1957,TRUE,OPERA ESPOSTA
JEAN (HANS) ARP,Testa e conchiglia,1933,CIRCA,OPERA ESPOSTA
JEAN (HANS) ARP,Corona di germogli I,1936,TRUE,OPERA NON ESPOSTA
JEAN (HANS) ARP,Mutilato e senza patria,1936,TRUE,OPERA NON ESPOSTA
JEAN (HANS) ARP,Senza titolo,1940,TRUE,OPERA NON ESPOSTA
JEAN (HANS) ARP,Anfora-frutto,1946,CIRCA,OPERA ESPOSTA
JEAN (HANS) ARP,Busto di gnomo,1949,TRUE,OPERA NON ESPOSTA
JEAN (HANS) ARP,Grande collage,1955,TRUE,OPERA ESPOSTA
ARTISTI NON RICONOSCIUTI ASMAT,"Canoa delle anime (""wuramon"")",1950,CIRCA,OPERA ESPOSTA
EDMONDO BACCI,Fabbrica,1950,TRUE,OPERA NON ESPOSTA
EDMONDO BACCI,Senza titolo,1962,TRUE,OPERA NON ESPOSTA
EDMONDO BACCI,Avvenimento #27,1954,TRUE,OPERA NON ESPOSTA
EDMONDO BACCI,Avvenimento #247,1956,TRUE,OPERA NON ESPOSTA
EDMONDO BACCI,Avvenimento #292 (Incontro),1961,TRUE,OPERA NON ESPOSTA
EDMONDO BACCI,Senza titolo,1961,TRUE,OPERA NON ESPOSTA
FRANCIS BACON,Studio per scimpanzè,1957,TRUE,OPERA ESPOSTA
ARTISTA NON RICONOSCIUTO,"Maschera a spalla ""D’mba""",1950,CIRCA,OPERA NON ESPOSTA
ENRICO BAJ,Perso,1967,TRUE,OPERA NON ESPOSTA
CÉSAR BALDACCINI,L'uomo nella ragnatela,1955,TRUE,OPERA NON ESPOSTA
CÉSAR BALDACCINI,Compressione,1969,TRUE,OPERA NON ESPOSTA
GIACOMO BALLA,Velocità astratta + rumore,1914,CIRCA,OPERA NON ESPOSTA
ARTISTA NON RICONOSCIUTO,"Cimiero maschio ""Ci Wara""",1950,CIRCA,OPERA NON ESPOSTA
ARTISTA NON RICONOSCIUTO,"Cimiero femmina ""Ci Wara""",1950,CIRCA,OPERA NON ESPOSTA
AFRO BASALDELLA,Paese giallo,1957,TRUE,OPERA ESPOSTA
AFRO BASALDELLA,Senza titolo,1964,TRUE,OPERA ESPOSTA
AFRO BASALDELLA,Le regole,1969,TRUE,OPERA NON ESPOSTA
MIRKO BASALDELLA,Insetto e fiore,1948,CIRCA,OPERA NON ESPOSTA
MIRKO BASALDELLA,Bozzetto per i cancelli delle Fosse Ardeatine,1949,TRUE,OPERA NON ESPOSTA
MIRKO BASALDELLA,Elemento architettonico – Linee forze nello spazio,1953,TRUE,OPERA ESPOSTA
MIRKO BASALDELLA,Volto,1953,TRUE,OPERA NON ESPOSTA
MIRKO BASALDELLA,Leone di Damasco,1954,TRUE,OPERA NON ESPOSTA
MIRKO BASALDELLA,L'iniziato,1955,TRUE,OPERA NON ESPOSTA
MIRKO BASALDELLA,Piccola chimera,1956,TRUE,OPERA NON ESPOSTA
MIRKO BASALDELLA,Leone urlante II,1956,TRUE,OPERA ESPOSTA
MIRKO BASALDELLA,L'officiante,1963,TRUE,OPERA NON ESPOSTA
MIRKO BASALDELLA,Mobile II,1968,TRUE,OPERA NON ESPOSTA
MIRKO BASALDELLA,Invocazione,1968,TRUE,OPERA NON ESPOSTA
WILLIAM BAZIOTES,Senza titolo,1943,TRUE,OPERA ESPOSTA
WILLIAM BAZIOTES,I paracadutisti,1944,TRUE,OPERA NON ESPOSTA
WILLIAM BAZIOTES,La stanza,1945,TRUE,OPERA ESPOSTA
BERND E HILLA BECHER,"Case a graticcio, Siegen Sud-Vestfalia",1988,TRUE,OPERA ESPOSTA
BERND E HILLA BECHER,"Case a graticcio, Siegen Sud-Vestfalia",1988,TRUE,OPERA ESPOSTA
BERND E HILLA BECHER,"Case a graticcio, Siegen Sud-Vestfalia",1988,TRUE,OPERA ESPOSTA
BERND E HILLA BECHER,"Case a graticcio, Siegen Sud-Vestfalia",1988,TRUE,OPERA ESPOSTA
LEONID BERMAN,Laguna veneta,NULL,CIRCA,OPERA NON ESPOSTA
ALBERTO BIASI,Dinamica visuale,1964,TRUE,OPERA NON ESPOSTA
JULIUS BISSIER,27 luglio 1959,1959,TRUE,OPERA ESPOSTA
JULIUS BISSIER,16 luglio 1960 G,1960,TRUE,OPERA ESPOSTA
JULIUS BISSIER,16 giugno 1961 K,1961,TRUE,OPERA ESPOSTA
JULIUS BISSIER,H 20 agosto 1962 S,1962,TRUE,OPERA ESPOSTA
UMBERTO BOCCIONI,Dinamismo di un cavallo in corsa + case,1915,TRUE,OPERA NON ESPOSTA
AGOSTINO BONALUMI,Nero,1966,TRUE,OPERA NON ESPOSTA
AGOSTINO BONALUMI,"Ambiente bianco, spazio trattenuto e spazio invaso",2002,TRUE,OPERA NON ESPOSTA
MARTHA BOTO,Struttura ottica,1963,TRUE,OPERA NON ESPOSTA
CONSTANTIN BRANCUSI,Uccello nello spazio,1940,CIRCA,OPERA NON ESPOSTA
GEORGES BRAQUE,Il clarinetto,1912,TRUE,OPERA ESPOSTA
GEORGES BRAQUE,Fruttiera con uva,1926,TRUE,OPERA NON ESPOSTA
VICTOR BRAUNER,Senza titolo,1941,TRUE,OPERA NON ESPOSTA
VICTOR BRAUNER,Senza titolo,1945,TRUE,OPERA ESPOSTA
VICTOR BRAUNER,Il surrealista,1947,TRUE,OPERA ESPOSTA
VICTOR BRAUNER,Téléventré,1948,TRUE,OPERA NON ESPOSTA
VICTOR BRAUNER,Coscienza dello shock,1951,TRUE,OPERA NON ESPOSTA
VICTOR BRAUNER,Senza titolo,1954,TRUE,OPERA ESPOSTA
RENÉ BRÔ,Autunno a Courgeron,1960,TRUE,OPERA NON ESPOSTA
ALBERTO BURRI,Bianco B,1965,TRUE,OPERA NON ESPOSTA
REG BUTLER,Donna che cammina,1951,TRUE,OPERA ESPOSTA
ALEXANDER CALDER,Mobile,1934,CIRCA,OPERA NON ESPOSTA
ALEXANDER CALDER,Orecchini per Peggy Guggenheim,1938,CIRCA,OPERA ESPOSTA
ALEXANDER CALDER,Arco di petali,1941,TRUE,OPERA ESPOSTA
ALEXANDER CALDER,Testiera di letto in argento,1943,TRUE,OPERA ESPOSTA
ALEXANDER CALDER,"Disco rosso, punti bianchi su nero",1960,TRUE,OPERA ESPOSTA
ALEXANDER CALDER,Luna gialla,1966,TRUE,OPERA NON ESPOSTA
ALEXANDER CALDER,Mucca,1971,TRUE,OPERA ESPOSTA
ALEXANDER CALDER,Le Grand Passage,1974,TRUE,OPERA NON ESPOSTA
MASSIMO CAMPIGLI,Il gioco a palla,1946,TRUE,OPERA NON ESPOSTA
KAREL ČAPEK,Forme intrecciate,1920,TRUE,OPERA NON ESPOSTA
GIUSEPPE CAPOGROSSI,Superficie 236,1957,TRUE,OPERA ESPOSTA
ANTHONY CARO,Lal,1966,TRUE,OPERA ESPOSTA
ANTHONY CARO,Cardine,1966,TRUE,OPERA NON ESPOSTA
ANTHONY CARO,Prima luce,1993,CIRCA,OPERA NON ESPOSTA
LEONORA CARRINGTON,Oink (Essi vedranno i tuoi occhi),1959,TRUE,OPERA ESPOSTA
ENRICO CASTELLANI,Superficie bianca,1977,TRUE,OPERA NON ESPOSTA
LYNN CHADWICK,Modellino per Teddyboy e ragazza,1955,TRUE,OPERA ESPOSTA
MARC CHAGALL,La pioggia,1911,TRUE,OPERA NON ESPOSTA
JOHN CHAMBERLAIN,Piccolo pezzo #1,1961,TRUE,OPERA NON ESPOSTA
ARTISTA NON RICONOSCIUTO,Figura flauto,1480,CIRCA,OPERA NON ESPOSTA
EDUARDO CHILLIDA,Stele per Millares,1972,TRUE,OPERA ESPOSTA
EDUARDO CHILLIDA,Luogo di incontri I,1964,TRUE,OPERA NON ESPOSTA
EDUARDO CHILLIDA,Senza titolo,1970,TRUE,OPERA NON ESPOSTA
EDUARDO CHILLIDA,Senza titolo,1974,TRUE,OPERA NON ESPOSTA
EDUARDO CHILLIDA,Le Poème – Parménide,1999,TRUE,OPERA NON ESPOSTA
EDUARDO CHILLIDA,Le Poème – Parménide,1999,TRUE,OPERA NON ESPOSTA
EDUARDO CHILLIDA,Le Poème – Parménide,1999,TRUE,OPERA NON ESPOSTA
EDUARDO CHILLIDA,Le Poème – Parménide,1999,TRUE,OPERA NON ESPOSTA
EDUARDO CHILLIDA,Le Poème – Parménide,1999,TRUE,OPERA NON ESPOSTA
EDUARDO CHILLIDA,Le Poème – Parménide,1999,TRUE,OPERA NON ESPOSTA
ARTISTA NON RICONOSCIUTO,Maschera funeraria in tre pannelli,900–1470 EV,TRUE,OPERA NON ESPOSTA
ARTISTA NON RICONOSCIUTO,Poncho con camelidi,900–1470 EV,TRUE,OPERA NON ESPOSTA
CARLO CIUSSI,XXXI,1969,TRUE,OPERA NON ESPOSTA
FABRIZIO CLERICI,La nube,1968,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
JEAN COCTEAU,Senza titolo,1920,CIRCA,OPERA NON ESPOSTA
WILLIAM CONGDON,Piazza San Marco #15,1957,TRUE,OPERA NON ESPOSTA
WILLIAM CONGDON,Venezia #1,1957,TRUE,OPERA NON ESPOSTA
WILLIAM CONGDON,Cambogia,1960,TRUE,OPERA NON ESPOSTA
WILLIAM CONGDON,Le Beatitudini,1969,CIRCA,OPERA NON ESPOSTA
